id,survey,sessionId,rotation_state,age_group,gender,reading_platform,book_frequency,genre
29,Survey (24 Questions),5cl7v69x,IIUU,35-44,['Man'],['E-books'],10-14,"['History', 'Classics/literature', 'Political', 'Other non-fiction']"
30,Survey (24 Questions),j1xox6du,IIUU,18-24,['Man'],['Physical books'],0-4,"['Science fiction', 'Fantasy']"
31,Survey (24 Questions),jfna7x7m,IIUU,18-24,['Man'],['Physical books'],5-9,"['Science fiction', 'Classics/literature', 'Political', 'Westerns']"
44,Survey (24 Questions),xih9ubqs,ALSUU,35-44,['Woman'],['E-books'],More than 20,"['Science fiction', 'Fantasy', 'Classics/literature']"
33,Survey (24 Questions),p6nqgx4d,IIALS,35-44,['Woman'],['E-books'],More than 20,['Fantasy']
12,Survey (24 Questions),6eno0nju,IIUU,25-34,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Science fiction', 'Poetry', 'Other fiction', 'Other non-fiction']"
13,Survey (24 Questions),bg4lbkea,IIALS,25-34,['Man'],"['Physical books', 'E-books', 'Audiobooks']",More than 20,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Classics/literature', 'Poetry', 'Other fiction', 'Other non-fiction']"
14,Survey (24 Questions),d12qsf4q,UUALS,35-44,['Man'],"['Physical books', 'E-books']",More than 20,"['History', 'Science fiction', 'Fantasy', 'Classics/literature', 'Other fiction', 'Other non-fiction']"
15,Survey (24 Questions),dye68xdb,UUII,55-64,['Man'],['E-books'],More than 20,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Other non-fiction']"
16,Survey (24 Questions),dye68xdb,ALSII,55-64,['Man'],['E-books'],More than 20,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Other non-fiction']"
17,Survey (24 Questions),8vxu8zey,IIUU,Under 18,['Woman'],"['Physical books', 'Audiobooks']",0-4,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Other fiction', 'Other non-fiction']"
18,Survey (24 Questions),6aj6ildk,IIUU,25-34,['Woman'],"['Physical books', 'Audiobooks']",0-4,"['Mystery, thriller and crime', 'Self-help']"
19,Survey (24 Questions),64ai8ni9,IIUU,45-54,['Woman'],"['Physical books', 'Audiobooks']",More than 20,"['History', 'Biographies', 'Science fiction', 'Fantasy', 'Self-help', 'Political', 'Business']"
20,Survey (24 Questions),vdr36k8g,IIUU,18-24,['Woman'],['Physical books'],5-9,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy']"
21,Survey (24 Questions),vdr36k8g,UUALS,18-24,['Woman'],['Physical books'],5-9,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy']"
34,Survey (24 Questions),xevjpdjb,UUALS,25-34,['Woman'],['Online articles'],0-4,"['Mystery, thriller and crime', 'Romance']"
23,Survey (24 Questions),ntyio0r1,ALSII,18-24,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Health', 'Religion/spirituality', 'Self-help', 'True crime', 'Business', 'Poetry', 'Other non-fiction']"
25,Survey (24 Questions),kapfk3f3,IIUU,18-24,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Health', 'True crime', 'Business']"
26,Survey (24 Questions),sb7b2zot,IIUU,18-24,['Man'],"['Physical books', 'E-books']",0-4,"['Science fiction', 'Fantasy', 'Other fiction']"
27,Survey (24 Questions),4fyhepmc,UUALS,25-34,['Woman'],"['Physical books', 'E-books', 'Audiobooks']",0-4,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy', 'Classics/literature', 'Poetry', 'Other fiction', 'Other non-fiction']"
28,Survey (24 Questions),sfixiixa,IIUU,25-34,['Man'],['Physical books'],5-9,"['History', 'Science fiction', 'Political']"
35,Survey (24 Questions),5nn7c8w9,UUALS,55-64,['Man'],"['Physical books', 'E-books']",0-4,"['History', 'Biographies', 'Political', 'Other non-fiction']"
36,Survey (24 Questions),f9zy2goo,UUII,25-34,['Man'],['Physical books'],0-4,"['History', 'Classics/literature', 'Religion/spirituality', 'Self-help']"
37,Survey (24 Questions),bww6drtg,ALSII,18-24,['Man'],"['E-books', 'Online articles']",0-4,"['Science fiction', 'Fantasy']"
38,Survey (24 Questions),0nzty31t,ALSUU,45-54,['Woman'],"['Physical books', 'E-books', 'Online articles']",5-9,"['History', 'Biographies', 'Classics/literature', 'Health', 'Self-help', 'Political']"
39,Survey (24 Questions),l88wuc20,IIUU,55-64,['Woman'],"['Audiobooks', 'Online articles']",5-9,"['Biographies', 'Romance', 'Cookbooks', 'Religion/spirituality']"
40,Survey (24 Questions),t19acbqm,IIALS,18-24,['Man'],['Online articles'],0-4,"['History', 'Fantasy']"
41,Survey (24 Questions),925yttfk,UUALS,45-54,['Man'],"['Physical books', 'E-books', 'Audiobooks']",More than 20,"['Mystery, thriller and crime', 'Biographies', 'Science fiction', 'Fantasy', 'Classics/literature', 'Health', 'Other fiction', 'Other non-fiction']"
42,Survey (24 Questions),925yttfk,UUII,45-54,['Man'],"['Physical books', 'E-books', 'Audiobooks']",More than 20,"['Mystery, thriller and crime', 'Biographies', 'Science fiction', 'Fantasy', 'Classics/literature', 'Health', 'Other fiction', 'Other non-fiction']"
43,Survey (24 Questions),pxu6qmn1,ALSII,55-64,['Woman'],['E-books'],0-4,"['Mystery, thriller and crime', 'Romance']"
45,Survey (24 Questions),tu3vc6mj,IIUU,45-54,['Woman'],['Audiobooks'],More than 20,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Classics/literature', 'Religion/spirituality']"
46,Survey (24 Questions),6hb1voef,IIALS,18-24,['Woman'],['Physical books'],More than 20,"['Romance', 'Science fiction', 'Fantasy', 'Other fiction']"
48,Survey (24 Questions),2kp3k9a3,UUII,35-44,['Man'],['Audiobooks'],More than 20,"['Science fiction', 'Fantasy']"
47,Survey (24 Questions),b3mw5msa,UUALS,25-34,['Woman'],['Physical books'],15-20,"['Mystery, thriller and crime', 'History', 'Biographies', 'Political']"
24,Survey (24 Questions),w18mkml4,ALSUU,18-24,['Woman'],"['Physical books', 'E-books', 'Online articles', 'Other']",15-20,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy', 'Other fiction']"
49,Survey (24 Questions),072fbk1f,ALSII,18-24,['Woman'],"['Physical books', 'E-books']",0-4,"['Mystery, thriller and crime', 'Health', 'True crime']"
50,Survey (24 Questions),clo8ac2s,ALSUU,25-34,['Man'],"['Physical books', 'Audiobooks', 'Online articles']",0-4,"['Biographies', 'Cookbooks', 'Other non-fiction']"
51,Survey (24 Questions),25x3zy1d,IIUU,18-24,['Man'],"['Physical books', 'E-books']",0-4,"['Mystery, thriller and crime', 'History', 'Classics/literature', 'Political']"
52,Survey (24 Questions),bmbqiidr,IIALS,Under 18,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction']"
53,Survey (24 Questions),bmbqiidr,UUII,Under 18,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction']"
54,Survey (24 Questions),bmbqiidr,ALSUU,Under 18,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction']"
55,Survey (24 Questions),bmbqiidr,IIALS,Under 18,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction']"
56,Survey (24 Questions),bmbqiidr,UUII,Under 18,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction']"
57,Survey (24 Questions),1fxbkrf8,ALSUU,I prefer not to say,['I prefer not to say'],['Physical books'],10-14,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'Religion/spirituality', 'Other fiction', 'Other non-fiction']"
58,Survey (24 Questions),bmbqiidr,IIUU,Under 18,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction']"
59,Survey (24 Questions),bmbqiidr,UUALS,Under 18,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction']"
60,Survey (24 Questions),l6hy2yzh,ALSII,25-34,['Man'],"['E-books', 'Audiobooks', 'Online articles']",0-4,"['History', 'Cookbooks', 'Classics/literature', 'Health', 'Religion/spirituality', 'Self-help', 'Political', 'Business']"
61,Survey (24 Questions),ffc2fs6s,ALSUU,25-34,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'Romance', 'Classics/literature']"
62,Survey (24 Questions),1fxbkrf8,IIUU,I prefer not to say,['I prefer not to say'],['Physical books'],10-14,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'Religion/spirituality', 'Other fiction', 'Other non-fiction']"
63,Survey (24 Questions),cw49m9mm,IIALS,18-24,['Man'],['Online articles'],0-4,"['Classics/literature', 'True crime']"
64,Survey (24 Questions),3ccq88gr,UUALS,25-34,['Woman'],"['Physical books', 'E-books']",5-9,"['Mystery, thriller and crime', 'Cookbooks', 'Science fiction', 'Fantasy', 'True crime', 'Business']"
65,Survey (24 Questions),791vfka9,UUII,25-34,['Man'],['Physical books'],0-4,"['Mystery, thriller and crime', 'History', 'Political', 'Business']"
66,Survey (24 Questions),791vfka9,ALSII,25-34,['Man'],['Physical books'],0-4,"['Mystery, thriller and crime', 'History', 'Political', 'Business']"
67,Survey (24 Questions),uc5eibv3,ALSUU,18-24,['Woman'],['Physical books'],5-9,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'Classics/literature']"
68,Survey (24 Questions),ffahzeig,IIUU,35-44,['Man'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Fantasy']"
69,Survey (24 Questions),ep4gxehj,IIALS,18-24,['Man'],"['Physical books', 'Audiobooks', 'Online articles']",0-4,"['History', 'Biographies', 'Science fiction', 'Classics/literature', 'Poetry']"
70,Survey (24 Questions),8z53nbbj,UUALS,25-34,['Woman'],"['Physical books', 'Online articles']",0-4,"['Cookbooks', 'Science fiction', 'Fantasy', 'Self-help', 'Business']"
71,Survey (24 Questions),3jrr96hd,UUALS,25-34,['Man'],"['Physical books', 'E-books', 'Online articles']",0-4,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Classics/literature', 'Other fiction']"
72,Survey (24 Questions),8fvoszm3,ALSII,18-24,['Woman'],"['Physical books', 'E-books']",0-4,"['Biographies', 'Self-help', 'Other fiction', 'Other non-fiction']"
73,Survey (24 Questions),tq88h1s8,ALSUU,18-24,['Woman'],"['Physical books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'History', 'Science fiction', 'Fantasy']"
74,Survey (24 Questions),jjwiwkg0,IIUU,25-34,['Man'],"['Physical books', 'E-books', 'Audiobooks', 'Online articles']",5-9,"['Mystery, thriller and crime', 'History', 'Biographies', 'Cookbooks', 'Fantasy', 'Classics/literature', 'Religion/spirituality', 'True crime', 'Poetry', 'Other fiction', 'Other non-fiction']"
75,Survey (24 Questions),jjwiwkg0,IIALS,25-34,['Man'],"['Physical books', 'E-books', 'Audiobooks', 'Online articles']",5-9,"['Mystery, thriller and crime', 'History', 'Biographies', 'Cookbooks', 'Fantasy', 'Classics/literature', 'Religion/spirituality', 'True crime', 'Poetry', 'Other fiction', 'Other non-fiction']"
76,Survey (24 Questions),c1thtsff,UUALS,25-34,['Man'],"['Physical books', 'E-books']",5-9,"['Mystery, thriller and crime', 'Fantasy', 'Self-help', 'True crime', 'Poetry']"
77,Survey (24 Questions),8ucsssbp,UUII,45-54,['Man'],"['Physical books', 'E-books', 'Audiobooks']",10-14,"['Mystery, thriller and crime', 'Science fiction', 'True crime', 'Other non-fiction']"
78,Survey (24 Questions),4m81av6b,ALSII,35-44,['Man'],"['Physical books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'Biographies', 'Fantasy', 'Political']"
79,Survey (24 Questions),6tdjeuc6,ALSUU,18-24,['Woman'],"['Physical books', 'Online articles']",0-4,"['Biographies', 'Romance', 'Fantasy']"
80,Survey (24 Questions),mvxjscea,IIUU,25-34,['Man'],"['Physical books', 'E-books']",0-4,"['Mystery, thriller and crime', 'Romance', 'Classics/literature', 'Self-help', 'Business', 'Other fiction']"
81,Survey (24 Questions),mc2kidw2,IIALS,45-54,['Man'],['Physical books'],0-4,"['Biographies', 'Health', 'Religion/spirituality', 'Self-help', 'Political']"
82,Survey (24 Questions),iyxw8d17,UUALS,18-24,['Woman'],"['Physical books', 'E-books']",More than 20,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'Self-help', 'True crime']"
83,Survey (24 Questions),8hace1lk,UUII,18-24,['Woman'],['Physical books'],0-4,"['Romance', 'Fantasy', 'Poetry']"
84,Survey (24 Questions),lglj8fv4,ALSII,25-34,['Woman'],"['Physical books', 'Audiobooks']",0-4,"['Mystery, thriller and crime']"
85,Survey (24 Questions),jwbrehzn,ALSUU,35-44,['Woman'],"['Physical books', 'E-books', 'Audiobooks']",10-14,"['Science fiction', 'Fantasy']"
86,Survey (24 Questions),ss36tvbj,IIUU,35-44,['Woman'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction', 'Classics/literature', 'Religion/spirituality']"
87,Survey (24 Questions),hee76r86,IIALS,Above 64,['Man'],"['Physical books', 'E-books', 'Online articles']",More than 20,"['Mystery, thriller and crime', 'Business']"
88,Survey (24 Questions),mm52obxl,UUALS,55-64,['Man'],"['Physical books', 'E-books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'History', 'Biographies', 'Other fiction']"
89,Survey (24 Questions),pkznap33,UUII,18-24,['Man'],['E-books'],5-9,"['History', 'Fantasy']"
90,Survey (24 Questions),pkznap33,ALSII,18-24,['Man'],['E-books'],5-9,"['History', 'Fantasy']"
91,Survey (24 Questions),ghrhis7c,ALSUU,18-24,['Man'],"['Physical books', 'Audiobooks']",0-4,"['Romance', 'True crime']"
92,Survey (24 Questions),h79a96p1,IIUU,25-34,['Man'],"['Physical books', 'Online articles']",0-4,"['Science fiction', 'Fantasy']"
93,Survey (24 Questions),ma88jyft,IIALS,18-24,['Woman'],['Physical books'],0-4,['Romance']
94,Survey (24 Questions),nqfwmqvi,UUALS,25-34,['Man'],"['Physical books', 'E-books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy', 'True crime', 'Westerns', 'Other fiction']"
95,Survey (24 Questions),oqcc8ynj,UUII,18-24,['Man'],['Physical books'],0-4,['Self-help']
96,Survey (24 Questions),5qgv6uji,ALSII,18-24,['Man'],['Physical books'],15-20,"['History', 'Classics/literature', 'Political', 'Other non-fiction']"
97,Survey (24 Questions),gc0wjcpg,ALSUU,18-24,['Man'],"['Physical books', 'E-books']",0-4,"['Romance', 'Science fiction', 'Fantasy']"
98,Survey (24 Questions),ozb2ug2t,IIUU,18-24,['Woman'],['E-books'],5-9,"['Mystery, thriller and crime', 'Romance', 'Other fiction']"
99,Survey (24 Questions),hdw4qy7v,IIALS,18-24,['Woman'],"['Physical books', 'Online articles']",5-9,"['Romance', 'Classics/literature', 'Other non-fiction']"
100,Survey (24 Questions),f8cmpujj,UUALS,25-34,['Man'],"['Physical books', 'E-books']",5-9,"['Science fiction', 'Fantasy', 'Other non-fiction']"
101,Survey (24 Questions),iqx4og71,UUII,18-24,['Woman'],"['Physical books', 'E-books']",5-9,"['Mystery, thriller and crime', 'Romance', 'Classics/literature']"
102,Survey (24 Questions),1rngno6b,ALSUU,25-34,['Woman'],"['Physical books', 'E-books']",More than 20,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'True crime']"
103,Survey (24 Questions),1rngno6b,IIUU,25-34,['Woman'],"['Physical books', 'E-books']",More than 20,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'True crime']"
104,Survey (24 Questions),vnri4prp,IIALS,25-34,['Woman'],"['Physical books', 'Online articles']",0-4,"['Cookbooks', 'Self-help']"
105,Survey (24 Questions),p8ydfoqz,ALSUU,35-44,['Woman'],['Physical books'],0-4,['Classics/literature']
106,Survey (24 Questions),wsxdfcpl,IIALS,35-44,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction', 'Fantasy', 'Classics/literature']"
107,Survey (24 Questions),zbs72bep,UUALS,25-34,['Man'],['Audiobooks'],0-4,"['Mystery, thriller and crime', 'History', 'Biographies', 'Fantasy', 'Other fiction']"
108,Survey (24 Questions),5gz750ir,UUII,18-24,['Woman'],"['Physical books', 'E-books', 'Online articles']",5-9,"['History', 'Cookbooks', 'Science fiction', 'Fantasy', 'Other non-fiction']"
109,Survey (24 Questions),nppsfp29,ALSII,25-34,['Woman'],"['Physical books', 'E-books', 'Audiobooks']",More than 20,"['Classics/literature', 'Poetry', 'Other fiction', 'Other non-fiction']"
110,Survey (24 Questions),ttmmgnnu,ALSUU,35-44,['Man'],['E-books'],5-9,"['Mystery, thriller and crime', 'History', 'Health', 'Self-help', 'Other non-fiction']"
111,Survey (24 Questions),g5paok1b,IIUU,18-24,['Woman'],"['Physical books', 'E-books']",More than 20,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'Other fiction']"
112,Survey (24 Questions),nm0bln8b,IIALS,18-24,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Westerns']"
113,Survey (24 Questions),qeem7x68,UUALS,45-54,['Man'],"['Physical books', 'E-books', 'Online articles']",5-9,"['History', 'Cookbooks', 'Fantasy', 'Religion/spirituality', 'Political']"
114,Survey (24 Questions),e1z5rmgl,UUII,25-34,['Woman'],['Physical books'],10-14,"['Romance', 'Science fiction', 'Fantasy', 'Classics/literature', 'Religion/spirituality', 'Poetry', 'Other fiction']"
115,Survey (24 Questions),frim50uu,ALSII,25-34,['Woman'],"['Physical books', 'Online articles']",0-4,"['Biographies', 'Romance', 'Fantasy', 'Religion/spirituality', 'True crime']"
116,Survey (24 Questions),jci3557c,ALSUU,25-34,['Man'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Science fiction']"
117,Survey (24 Questions),u5yqm9n5,IIUU,18-24,['Woman'],['Physical books'],0-4,"['History', 'Romance', 'Cookbooks', 'Fantasy', 'Classics/literature', 'Political', 'Other fiction', 'Other non-fiction']"
118,Survey (24 Questions),nrbfhzjn,IIALS,18-24,['Woman'],['Physical books'],0-4,"['Romance', 'Fantasy', 'Religion/spirituality', 'Self-help']"
119,Survey (24 Questions),cmvfczfx,UUALS,18-24,['Man'],"['Physical books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'History', 'Biographies', 'Science fiction', 'Fantasy', 'Classics/literature', 'Business']"
120,Survey (24 Questions),6lko0m6z,UUALS,35-44,['Man'],"['Physical books', 'Audiobooks']",0-4,"['Mystery, thriller and crime', 'Cookbooks', 'Classics/literature', 'Poetry']"
121,Survey (24 Questions),3egya56f,ALSII,18-24,['Woman'],"['Physical books', 'Audiobooks', 'Online articles', 'Other']",10-14,"['Mystery, thriller and crime', 'Romance', 'Religion/spirituality', 'Self-help', 'Poetry']"
122,Survey (24 Questions),eoytwbxr,ALSUU,35-44,['Man'],['E-books'],5-9,"['Mystery, thriller and crime', 'Science fiction', 'True crime', 'Other fiction']"
123,Survey (24 Questions),04q2uedo,IIUU,18-24,['Man'],"['Physical books', 'Audiobooks']",15-20,"['History', 'Fantasy', 'Classics/literature', 'Other fiction', 'Other non-fiction']"
124,Survey (24 Questions),joeo2j91,IIALS,25-34,['Man'],"['Physical books', 'E-books']",10-14,"['History', 'Biographies', 'True crime']"
125,Survey (24 Questions),4qsq463z,UUALS,45-54,['Woman'],"['Physical books', 'E-books']",0-4,"['Mystery, thriller and crime', 'History', 'Biographies', 'Cookbooks', 'Other non-fiction']"
